customer_id,customer_name,credit_score,geography,gender,age,tenure,balance,num_of_products,has_credit_card,is_active_member,estimated_salary,churned
1,James Brown,619,France,Male,42,2,0.00,1,1,1,101348.88,0
2,Maria Garcia,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0
3,Robert Johnson,502,France,Male,42,8,159660.80,3,1,0,113931.57,1
4,Jennifer Lee,699,France,Female,39,1,0.00,2,0,0,93826.63,0
5,David Smith,850,Spain,Male,43,2,125510.82,1,1,1,79084.10,0
6,Patricia Wilson,645,Spain,Female,44,8,113755.78,2,1,0,149756.71,1
7,Christopher Moore,822,Germany,Male,53,2,0.00,1,1,1,10062.80,0
8,Linda Martinez,376,Germany,Female,50,7,142051.07,2,1,1,119346.88,1
9,Charles Allen,501,France,Male,45,3,0.00,2,0,0,74940.50,0
10,Susan Young,684,France,Female,52,2,134603.89,1,1,1,71725.73,1
11,Daniel Hernandez,561,Spain,Male,29,7,0.00,2,0,1,80127.46,0
12,Barbara Clark,720,France,Female,31,4,120857.51,3,0,1,76390.01,0
13,Matthew Lewis,650,Germany,Male,33,5,0.00,2,1,0,26260.98,0
14,Elizabeth Walker,547,France,Female,35,3,0.00,1,0,0,190857.07,0
15,Joshua Hall,771,Germany,Male,42,4,0.00,1,1,1,65951.65,0
16,Patricia Adams,699,France,Female,36,7,0.00,2,0,0,64327.26,0
17,Andrew Baker,850,Spain,Male,32,4,0.00,2,1,0,5097.67,0
18,Jennifer Rivera,822,France,Female,34,6,0.00,2,1,1,14406.83,0
19,Joseph Scott,850,Spain,Male,34,9,98688.00,1,1,1,158684.81,1
20,Emily King,850,France,Female,48,4,0.00,1,0,1,128577.47,0
21,John Green,500,France,Male,37,3,112367.34,1,1,1,135512.46,1
22,Jessica Nelson,850,Germany,Female,41,5,0.00,2,1,0,122391.71,0
23,James Carter,699,France,Male,39,2,0.00,2,1,1,113755.78,0
24,Ashley Phillips,850,France,Female,40,8,0.00,1,1,1,137181.12,0
25,Donald Perez,650,Spain,Male,35,7,0.00,2,1,0,113955.90,0
26,Melissa Roberts,627,Germany,Female,42,7,0.00,2,1,1,137191.12,0
27,Steven Turner,666,France,Male,49,8,0.00,1,1,0,11575.77,1
28,Michelle Parker,577,France,Female,31,4,0.00,1,1,0,105772.15,0
29,Paul Evans,850,Spain,Male,43,7,0.00,2,0,1,121577.47,0
30,Kimberly Collins,850,France,Female,40,8,0.00,1,0,0,123683.48,0
31,Mark Stewart,650,France,Male,49,4,0.00,2,1,1,85677.42,0
32,Laura Sanchez,850,France,Female,55,7,0.00,2,0,0,128574.85,1
